  "Nf6":10782    |  b7b6 10352
  "Nh6":9862     |  b7b5 10339
  "Na6":9841     |  c7c6 10275
  "Nc6":10808    |  c7c5 10796
  "h6":9349      |  d7d6 13281
+ "h5":9102      |  d7d5 13806
+ "g6":10390     |  e7e6 14608
  "g5":11643     |  e7e5 14634
  "f6":9365      |  f7f6 9366
  "f5":9886      |  f7f5 9887
  "e6":14607     |  g7g6 10390
  "e5":14633     |  g7g5 11645
  "d6":13280     |  h7h6 9350
  "d5":13805     |  h7h5 9102
  "c6":10274     |  b8c6 10809
  "c5":10795     |  b8a6 9842
  "b6":10351     |  a7a6 9366
  "b5":10338     |  a7a5 10335
  "a6":9365      |  g8h6 9863
  "a5":10334     |  g8f6 10783




















