+ "h3":181044      |  b1c3 234656
  "h4":218810      |  b1a3 198572
+ "g3":217210      |  g1h3 198502
  "g4":214013      |  g1f3 233491
+ "f3":178889      |  a2a3 181046
  "f4":198435      |  a2a4 217832
+ "e3":402988      |  b2b3 215255
  "e4":405348      |  b2b4 216145
+ "d3":328511      |  c2c3 222861
  "d4":361753      |  c2c4 240082
+ "c3":222861      |  d2d3 328511
  "c4":240044      |  d2d4 361790
+ "b3":215255      |  e2e3 402988
  "b4":216110      |  e2e4 405385
+ "a3":181046      |  f2f3 178889
  "a4":217813      |  f2f4 198473
+ "Nh3":198502     |  g2g3 217210
+ "Nf3":233491     |  g2g4 214048
+ "Nc3":234656     |  h2h3 181044
+ "Na3":198572     |  h2h4 218829




















