e1f1 43    Bb5:49
e1d1 43    Bc1:53
e1g1 43    Bc4:51
e1c1 43    Bd1:54
a1b1 43    Bd3:52
a1c1 43    Be3:53
a1d1 43    Bf1:51
h1g1 43    Bf4:53
h1f1 43    Bg5:52
a2a3 44    Bh6:51
a2a4 44    Bxa6:46
b2b3 42    Kd1:52
d2e3 43    Kf1:49
d2f4 43    Na4:52
d2g5 42    Nb1:52
d2h6 41    Nb5:49
d2c1 43    Nc4:52
e2d1 44    Nc6:51
e2d3 42    Nd1:52
e2c4 41    Nd3:53
e2b5 39    Ng4:54
e2a6 36    Nxd7:54
e2f1 44    Nxf7:54
g2g3 42    Nxg6:52
g2g4 42    O-O:45
g2h3 43    O-O-O:52
c3d1 42    Qd3:52
c3b1 42    Qe3:53
c3a4 42    Qf4:53
c3b5 39    Qf5:55
f3g4 43    Qg3:53
f3h5 43    Qg4:53
f3f4 43    Qh5:53
f3f5 45    Qxf6:49
f3f6 39    Qxh3:53
f3g3 43    Rb1:53
f3h3 43    Rc1:53
f3e3 43    Rd1:53
f3d3 42    Rf1:49
d5d6 41    Rg1:49
d5e6 46    a3:54
e5f7 44    a4:54
e5g6 42    b3:52
e5g4 44    d6:51
e5d3 43    dxe6:56
e5c4 42    g3:49
e5c6 41    g4:49
e5d7 45    gxh3:48
